Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna","PinSocket_1x01_P2.54mm_Vertical",68.070000,-147.662500,0.000000,top
"C1","100 nf","C_0402_1005Metric",74.820000,-153.252500,0.000000,top
"C2","100 nf","C_0402_1005Metric",81.160000,-160.152500,-90.000000,top
"C3","47 nF","C_0402_1005Metric",79.140000,-160.192500,-90.000000,top
"C4","47 pF","C_0402_1005Metric",73.680000,-150.562500,-90.000000,top
"C5","47 pF","C_0402_1005Metric",74.660000,-150.562500,-90.000000,top
"C6","1 nF","C_0402_1005Metric",75.870000,-143.862500,-90.000000,top
"C7","1 uF","C_0402_1005Metric",80.780000,-137.940000,180.000000,top
"C8","100 nF","C_0402_1005Metric",81.550000,-142.090000,180.000000,top
"C9","100 nF","C_0402_1005Metric",93.130000,-135.630000,90.000000,top
"C10","100 nF (C8 - C14 &C24)","C_0402_1005Metric",92.100000,-135.540000,90.000000,top
"C11","100 nF","C_0402_1005Metric",92.480000,-138.690000,0.000000,top
"C12","100 nF","C_0402_1005Metric",94.390000,-144.320000,90.000000,top
"C13","100 nF","C_0402_1005Metric",90.930000,-135.450000,90.000000,top
"C14","100 nF","C_0402_1005Metric",87.010000,-148.200000,-90.000000,top
"C15","100 nF","C_0402_1005Metric",82.600000,-125.590000,90.000000,top
"C16","10 uF","C_0402_1005Metric",89.950000,-118.230000,90.000000,top
"C17","10 uF","C_0402_1005Metric",96.500000,-117.620000,90.000000,top
"C18","39 pF","C_0402_1005Metric",72.780000,-146.902500,180.000000,top
"C19","3.3 pF","C_0402_1005Metric",72.330000,-148.342500,-90.000000,top
"C20","3.3 pF","C_0402_1005Metric",71.340000,-148.302500,-90.000000,top
"C21","1 uF","C_0402_1005Metric",88.950000,-131.680000,-90.000000,top
"C22","100 nF","C_0402_1005Metric",81.730000,-144.700000,180.000000,top
"C23","100 nF","C_0402_1005Metric",86.860000,-136.410000,90.000000,top
"C24","100nF","C_0402_1005Metric",92.700000,-131.220000,90.000000,top
"FB1","BLM15AX102SN1D","L_0402_1005Metric",93.890000,-116.140000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",88.030000,-112.445000,180.000000,top
"L1","15uH","L_0402_1005Metric",80.160000,-160.172500,-90.000000,top
"L2","47 nH","L_0402_1005Metric",76.100000,-150.132500,0.000000,top
"L3","9.1 nH","L_0402_1005Metric",70.895000,-146.842500,180.000000,top
"R1","100","R_0402_1005Metric",76.880000,-143.892500,90.000000,top
"R2","27.4","R_0402_1005Metric",86.690000,-131.780000,-90.000000,top
"R3","27.4","R_0402_1005Metric",85.620000,-131.790000,-90.000000,top
"R4","10k","R_0402_1005Metric",88.140000,-146.740000,90.000000,top
"R5","1k","R_0402_1005Metric",84.090000,-136.170000,-90.000000,top
"R6","5.1 k","R_0402_1005Metric",88.960000,-118.240000,-90.000000,top
"R7","5.1 k","R_0402_1005Metric",86.020000,-118.230000,90.000000,top
"SW2","BOOTSEL","SW_SPST_PTS647_Sx70",99.085000,-144.750000,180.000000,top
"SW3","RESET","SW_SPST_PTS647_Sx70",98.360000,-139.290000,180.000000,top
"U1","SX1262IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",80.490000,-154.472500,0.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",87.220000,-141.377500,0.000000,top
"U3","PE4259","SOT-363_SC-70-6",75.460000,-147.572500,180.000000,top
"U4","0900FM15D0039E","Balun_Johanson_0900FM15K0039",78.490000,-149.212500,180.000000,top
"U5","12 MHz","SOIC-8_5.3x5.3mm_P1.27mm",78.670000,-129.040000,0.000000,top
"U6","AP2112K-3.3","SOT-23-5",93.740000,-119.107500,0.000000,top
"Y1","32MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",67.990000,-154.132500,0.000000,top
