Designator,Mid X,Mid Y,Rotation,Layer
AE1,68.07,-147.6625,0.0,top
C1,74.82,-153.2525,0.0,top
C10,92.1,-135.54,90.0,top
C11,92.48,-138.69,0.0,top
C12,94.39,-144.32,90.0,top
C13,90.93,-135.45,90.0,top
C14,87.01,-148.2,270.0,top
C15,82.6,-125.59,90.0,top
C16,89.95,-118.23,90.0,top
C17,96.5,-117.62,90.0,top
C18,72.78,-146.9025,180.0,top
C19,72.33,-148.3425,270.0,top
C2,81.16,-160.1525,270.0,top
C20,71.34,-148.3025,270.0,top
C21,88.95,-131.68,270.0,top
C22,81.73,-144.7,180.0,top
C23,84.63,-131.76,90.0,top
C24,92.7,-131.22,90.0,top
C3,79.14,-160.1925,270.0,top
C4,73.68,-150.5625,270.0,top
C5,74.66,-150.5625,270.0,top
C6,75.87,-143.8625,270.0,top
C7,80.78,-137.94,180.0,top
C8,81.55,-142.09,180.0,top
C9,93.13,-135.63,90.0,top
FB1,93.89,-116.14,270.0,top
J1,88.02,-112.16,180.0,top
L1,80.16,-160.1725,270.0,top
L2,76.1,-150.1325,0.0,top
L3,70.895,-146.8425,180.0,top
R1,76.88,-143.8925,90.0,top
R2,86.69,-131.78,270.0,top
R3,85.62,-131.79,270.0,top
R4,88.14,-146.74,90.0,top
R5,84.09,-136.17,270.0,top
R6,88.82,-118.26,270.0,top
R7,86.02,-118.23,90.0,top
SW2,99.085,-144.75,180.0,top
SW3,98.36,-139.29,180.0,top
U1,80.49,-154.4725,90.0,top
U2,87.22,-141.3775,90.0,top
U3,75.46,-147.5725,0.0,top
U4,78.49,-149.2125,180.0,top
U5,78.67,-129.04,270.0,top
U6,93.74,-119.1075,180.0,top
Y1,67.99,-154.1325,0.0,top
